Date,Open,High,Low,Close,Volume,Adj Close
2002-03-06,1.31118,1.31118,1.24312,1.27944,139600,0.23964
2002-03-05,1.31576,1.31576,1.27038,1.27038,85900,0.23794
2002-03-04,1.27038,1.27038,1.26131,1.27038,150400,0.23794
2002-03-01,1.27038,1.27038,1.27038,1.27038,42900,0.23794
2002-02-28,1.26131,1.27038,1.26131,1.27038,75200,0.23794
2002-02-27,1.27038,1.27038,1.24312,1.24312,000,0.23284
2002-02-26,1.24312,1.27038,1.24312,1.27038,96700,0.23794
2002-02-25,1.26131,1.27038,1.22499,1.27038,225600,0.23794
2002-02-22,1.26131,1.31118,1.25224,1.27038,118100,0.23794
2002-02-21,1.27038,1.27944,1.26131,1.27038,290100,0.23794
2002-02-20,1.27491,1.27491,1.27038,1.27038,225600,0.23794
2002-02-19,1.27038,1.28398,1.27038,1.28398,429700,0.24049
2002-02-18,1.27038,1.27038,1.26131,1.27038,75200,0.23794
2002-02-15,1.3339,1.3339,1.27038,1.27038,107400,0.23794
2002-02-14,1.30665,1.31576,1.27491,1.31118,64400,0.24558
2002-02-08,1.27038,1.30665,1.27038,1.27038,193400,0.23794
2002-02-07,1.26131,1.27038,1.25224,1.27038,75200,0.23794
2002-02-06,1.27038,1.30665,1.23406,1.27038,118100,0.23794
2002-02-05,1.31118,1.31118,1.26131,1.27038,75200,0.23794
2002-02-04,1.31576,1.31576,1.26584,1.27038,279300,0.23794
2002-01-30,1.29758,1.31576,1.29758,1.30665,150400,0.24473
2002-01-29,1.3475,1.35203,1.28851,1.31576,182600,0.24644
2002-01-28,1.3339,1.3339,1.31576,1.3339,236300,0.24984
2002-01-25,1.3611,1.3611,1.31576,1.35203,462000,0.25324
2002-01-24,1.35203,1.3611,1.34297,1.3611,64400,0.25493
2002-01-23,1.39742,1.40649,1.3611,1.3611,107400,0.25493
2002-01-22,1.3611,1.45187,1.3611,1.37924,1568700,0.25833
2002-01-21,1.35203,1.3611,1.3339,1.3611,225600,0.25493
2002-01-18,1.35203,1.3611,1.32483,1.35203,96700,0.25324
2002-01-17,1.3475,1.35203,1.31576,1.35203,150400,0.25324
2002-01-16,1.35657,1.35657,1.3203,1.34297,96700,0.25154
2002-01-15,1.3339,1.34297,1.3339,1.34297,32200,0.25154
2002-01-14,1.34297,1.35657,1.32483,1.35203,118100,0.25324
2002-01-11,1.3611,1.3611,1.3203,1.34297,53700,0.25154
2002-01-10,1.37017,1.37017,1.34297,1.3611,139600,0.25493
2002-01-09,1.37924,1.40649,1.3339,1.3611,161100,0.25493
2002-01-08,1.37017,1.37924,1.3611,1.37924,75200,0.25833
2002-01-07,1.35657,1.40649,1.35203,1.35203,150400,0.25324
2002-01-04,1.34297,1.35203,1.34297,1.35203,53700,0.25324
2002-01-02,1.35203,1.35203,1.3339,1.3339,000,0.24984
2001-12-31,1.35203,1.35203,1.32483,1.35203,96700,0.25324
2001-12-28,1.33843,1.3475,1.32483,1.3475,150400,0.25239
2001-12-27,1.45187,1.45187,1.34297,1.3611,96700,0.25493
2001-12-26,1.31576,1.3611,1.31576,1.3611,182600,0.25493
2001-12-24,1.3611,1.3611,1.28851,1.35203,32200,0.25324
2001-12-21,1.3611,1.3611,1.30665,1.35203,42900,0.25324
2001-12-20,1.31576,1.3611,1.31576,1.3611,64400,0.25493
2001-12-14,1.27944,1.33843,1.27038,1.33843,193400,0.25069
2001-12-13,1.40649,1.47908,1.27944,1.33843,150400,0.25069
2001-12-12,1.3611,1.45187,1.27038,1.3611,354500,0.25493
2001-12-11,1.90554,2.04165,1.89647,1.95093,666100,0.36541
2001-12-10,1.81482,1.90554,1.81482,1.90554,633900,0.35691
2001-12-07,1.80575,1.81482,1.80575,1.81482,268600,0.33991
2001-12-06,1.83295,1.83295,1.80575,1.81482,139600,0.33991
2001-12-05,1.81482,1.81482,1.80575,1.81482,279300,0.33991
2001-12-04,1.81482,1.84202,1.80575,1.80575,343800,0.33822
2001-12-03,1.81482,1.8602,1.80575,1.81482,139600,0.33991
2001-11-30,1.81482,1.81482,1.81482,1.81482,96700,0.33991
2001-11-29,1.83295,1.8602,1.78761,1.81482,204100,0.33991
2001-11-28,1.87834,1.90554,1.84202,1.89647,182600,0.35521
2001-11-27,1.85114,1.86927,1.84202,1.84202,139600,0.34501
2001-11-26,1.84202,1.8602,1.84202,1.85114,32200,0.34672
2001-11-23,1.81482,1.81482,1.80575,1.81482,85900,0.33991
2001-11-21,1.81482,1.81482,1.80575,1.80575,000,0.33822
2001-11-20,1.80575,1.81482,1.80575,1.81482,150400,0.33991
2001-11-19,1.81482,1.81482,1.76943,1.76943,000,0.33141
2001-11-16,1.76943,1.81482,1.76943,1.81482,75200,0.33991
2001-11-15,1.7785,1.81482,1.76943,1.76943,118100,0.33141
2001-11-13,1.76036,1.79668,1.75129,1.79668,96700,0.33652
2001-11-12,1.76943,1.76943,1.76943,1.76943,53700,0.33141
2001-11-08,1.76036,1.76943,1.76036,1.76943,85900,0.33141
2001-11-07,1.76036,1.76943,1.76036,1.76943,21400,0.33141
2001-11-06,1.76943,1.7785,1.75129,1.76943,118100,0.33141
2001-11-05,1.72409,1.7785,1.72409,1.7785,53700,0.33311
2001-11-02,1.72409,1.72409,1.67871,1.67871,000,0.31442
2001-11-01,1.67871,1.72409,1.67871,1.72409,32200,0.32292
2001-10-31,1.71498,1.71498,1.68777,1.68777,000,0.31612
2001-10-30,1.72409,1.72409,1.67871,1.72409,161100,0.32292
2001-10-29,1.68777,1.72409,1.68777,1.72409,42900,0.32292
2001-10-26,1.71498,1.72409,1.71498,1.72409,21400,0.32292
2001-10-25,1.72409,1.72409,1.72409,1.72409,21400,0.32292
2001-10-24,1.72409,1.72409,1.72409,1.72409,21400,0.32292
2001-10-23,1.70591,1.72409,1.70591,1.72409,42900,0.32292
2001-10-22,1.70591,1.70591,1.68777,1.68777,000,0.31612
2001-10-19,1.71498,1.72409,1.71498,1.72409,21400,0.32292
2001-10-18,1.68777,1.72409,1.68777,1.72409,42900,0.32292
2001-10-17,1.67871,1.72409,1.67871,1.72409,53700,0.32292
2001-10-16,1.72409,1.72409,1.6515,1.72409,42900,0.32292
2001-10-15,1.72409,1.72409,1.67871,1.70591,85900,0.31952
2001-10-12,1.67871,1.69684,1.67871,1.69684,32200,0.31782
2001-10-11,1.6515,1.6515,1.6515,1.6515,10700,0.30933
2001-10-10,1.6515,1.6515,1.6515,1.6515,10700,0.30933
2001-10-09,1.63332,1.64239,1.63332,1.64239,42900,0.30762
2001-10-08,1.63332,1.63332,1.62425,1.63332,107400,0.30592
2001-10-05,1.60612,1.64239,1.60612,1.64239,21400,0.30762
2001-10-04,1.58798,1.80575,1.58798,1.64239,128900,0.30762
2001-10-03,1.58798,1.63332,1.58798,1.63332,42900,0.30592
2001-10-02,1.5426,1.58798,1.5426,1.58798,53700,0.29743
2001-10-01,1.58798,1.58798,1.5426,1.57887,96700,0.29572
2001-09-27,1.52446,1.58798,1.52446,1.58798,64400,0.29743
2001-09-26,1.49721,1.58798,1.49721,1.58798,75200,0.29743
2001-09-25,1.47001,1.47908,1.47001,1.47908,21400,0.27703
2001-09-21,1.47908,1.48814,1.43369,1.48814,161100,0.27873
2001-09-20,1.49721,1.52446,1.49721,1.52446,42900,0.28553
2001-09-19,1.49721,1.58798,1.49721,1.58798,42900,0.29743
2001-09-18,1.52446,1.63332,1.48814,1.5426,128900,0.28893
2001-09-17,1.5426,1.5426,1.48814,1.52446,128900,0.28553
2001-09-14,1.5426,1.5698,1.53353,1.5698,182600,0.29402
2001-09-13,1.58798,1.59705,1.41555,1.57887,483500,0.29572
2001-09-11,1.61518,1.63332,1.60612,1.63332,214800,0.30592
2001-09-10,1.62425,1.66057,1.59705,1.61518,193400,0.30252
2001-09-07,1.61518,1.61518,1.58798,1.60612,139600,0.30083
2001-09-06,1.59705,1.61518,1.58798,1.61518,128900,0.30252
